coorte,crediti_totali,crediti_con_voto,voto_medio,ASD,data_ASD,ARC,data_ARC,PRG,data_PRG,ANI,data_ANI,MDL,data_MDL,INGLESE,data_INGLESE,TEST
2013,36,33,25,26,2014-09-12,0,0000-00-00,0,0000-00-00,27,2014-06-27,23,2014-09-09,0,2014-04-15,18
2013,36,36,23,25,2014-07-17,0,0000-00-00,18,2014-09-03,26,2014-07-23,0,0000-00-00,0,0000-00-00,12
2013,15,12,21,0,0000-00-00,0,0000-00-00,0,0000-00-00,21,2014-09-09,0,0000-00-00,0,2014-05-20,13
2013,15,12,20,20,2014-07-17,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2014-09-17,8
2013,15,12,21,21,2014-06-11,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2014-05-23,6
2013,24,24,23,21,2014-07-17,0,0000-00-00,25,2014-09-03,0,0000-00-00,0,0000-00-00,0,0000-00-00,12
2013,12,12,24,0,0000-00-00,0,0000-00-00,0,0000-00-00,24,2014-06-10,0,0000-00-00,0,0000-00-00,21
2013,12,12,25,25,2014-06-11,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,12
2013,15,12,21,21,2014-09-12,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2014-11-20,11
2013,45,45,25,26,2014-07-17,0,0000-00-00,26,2014-07-28,25,2014-06-27,24,2014-09-09,0,0000-00-00,21
2013,60,57,29,31,2014-07-17,28,2014-07-24,28,2014-09-03,31,2014-06-10,28,2014-07-01,0,2014-03-25,24
2013,36,36,25,26,2014-06-13,20,2014-07-24,30,2014-07-28,0,0000-00-00,0,0000-00-00,0,0000-00-00,16
2013,24,24,29,27,2014-06-12,0,0000-00-00,0,0000-00-00,30,2014-09-09,0,0000-00-00,0,0000-00-00,20
2013,48,48,23,23,2014-06-11,18,2014-07-24,26,2014-09-03,24,2014-09-09,0,0000-00-00,0,0000-00-00,17
2013,39,36,23,20,2014-06-11,20,2014-09-15,28,2014-09-03,0,0000-00-00,0,0000-00-00,0,2014-03-18,9
2013,48,45,25,27,2014-06-12,0,0000-00-00,25,2014-07-29,25,2014-09-09,23,2014-07-02,0,2014-09-16,15
2013,51,48,28,31,2014-06-13,26,2014-07-10,26,2014-09-03,30,2014-06-10,0,0000-00-00,0,2014-09-23,15
2013,36,36,29,30,2014-07-17,0,0000-00-00,29,2014-07-28,29,2014-06-27,0,0000-00-00,0,0000-00-00,12
2013,39,36,28,30,2014-07-17,0,0000-00-00,26,2014-07-28,29,2014-06-27,0,0000-00-00,0,2014-05-20,14
2013,27,24,25,26,2014-06-11,0,0000-00-00,0,0000-00-00,23,2014-06-27,0,0000-00-00,0,2014-05-23,10
2013,36,33,27,27,2014-09-12,0,0000-00-00,0,0000-00-00,30,2014-06-10,24,2014-07-30,0,2014-04-28,19
2014,27,24,26,28,2015-07-10,24,2015-07-14,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,2015-04-22,14
2014,60,57,30,31,2015-06-10,30,2015-07-14,31,2015-06-30,31,2015-06-25,28,2015-06-15,0,2015-05-12,24
2014,12,12,28,0,0000-00-00,0,0000-00-00,28,2015-06-30,0,0000-00-00,0,0000-00-00,0,0000-00-00,15
2014,12,12,19,0,0000-00-00,0,0000-00-00,0,0000-00-00,19,2015-07-27,0,0000-00-00,0,0000-00-00,11
2014,27,21,26,0,0000-00-00,0,0000-00-00,0,0000-00-00,31,2015-06-25,20,2015-07-09,0,0000-00-00,13
2014,12,12,23,23,2015-06-11,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,0,0000-00-00,11
2014,24,24,21,23,2015-07-09,0,0000-00-00,0,0000-00-00,18,2015-06-25,0,0000-00-00,0,0000-00-00,17
2014,51,48,30,31,2015-06-12,28,2015-09-14,30,2015-07-07,31,2015-07-24,0,0000-00-00,0,2015-05-08,19
2014,24,24,25,22,2015-07-10,0,0000-00-00,27,2015-07-07,0,0000-00-00,0,0000-00-00,0,0000-00-00,19
2014,60,57,27,28,2015-06-11,27,2015-07-14,26,2015-07-30,30,2015-06-26,26,2015-07-01,0,2015-10-12,13
2014,39,36,23,27,2015-07-09,0,0000-00-00,21,2015-09-01,21,2015-07-24,0,0000-00-00,0,2015-03-03,12
2014,24,24,25,0,0000-00-00,0,0000-00-00,22,2015-09-23,28,2015-09-11,0,0000-00-00,0,0000-00-00,14
2014,27,24,23,24,2015-07-09,0,0000-00-00,0,0000-00-00,21,2015-07-27,0,0000-00-00,0,2015-10-22,8
